id,ta,kdmk,klpk,klpk_2,kdds,kdds2,jmax,jsisa,id_hari1,id_hari2,id_hari3,id_sesi1,id_sesi2,id_sesi3,id_ruang1,id_ruang2,id_ruang3,jns_jam,open_class
277132,20232,F12.11201,F12.D201,,2105,0,40,24,2,3,0,23,23,0,758,760,0,1,1
277133,20232,F14.27610,F14.E602,,0,0,40,0,4,4,0,0,30,0,0,0,0,2,0
277130,20232,F14.27608,F14.E602,,0,0,40,0,4,4,0,27,30,0,0,0,0,2,0
277129,20232,F14.27706,F14.E602,,0,0,40,0,4,0,0,30,0,0,0,0,0,2,0
277128,20232,F14.27610,F14.E601,,2191,0,40,10,2,2,0,17,23,0,828,828,0,3,1
277127,20232,F14.27609,F14.E601,,2431,0,40,8,1,0,0,23,0,0,755,0,0,3,1
277126,20232,F14.27608,F14.E601,,2431,0,40,10,4,4,0,17,23,0,758,758,0,3,1
277125,20232,F14.27706,F14.E601,,0,0,40,0,4,0,0,14,0,0,0,0,0,1,0
277124,20232,N201701,F14.E602,,0,0,40,0,5,0,0,27,0,0,0,0,0,3,0
277123,20232,N201701,F14.E601,,2101,0,40,36,4,0,0,14,0,0,756,0,0,1,1
277122,20232,N201707,F14.E602,,0,0,40,0,2,0,0,30,0,0,0,0,0,0,0
277121,20232,N201707,F14.E601,,2101,0,50,35,5,0,0,7,0,0,756,0,0,3,1
277120,20232,F14.27603,F14.E602,,0,0,40,0,3,4,0,30,27,0,0,0,0,2,0
277119,20232,F14.27603,F14.E.601,,0,0,40,0,0,0,0,0,0,0,0,0,0,3,0
277118,20232,U201704,F14.E602,,0,0,40,0,3,1,1,27,27,30,0,0,0,3,0
277117,20232,F14.27601,F14.E601,,861,2431,40,32,1,3,3,14,17,23,759,828,828,1,1
277114,20232,F14.27602,F14.E402,,1528,0,40,19,3,0,0,27,0,0,760,0,0,2,1
277115,20232,F14.27604,F14.E401,,1694,0,40,25,5,0,0,23,0,0,750,0,0,1,1
277116,20232,F14.27604,F14.E402,,1694,62,40,19,5,0,0,27,0,0,755,0,0,2,1
277112,20232,F14.27406,F14.E402,,2191,0,40,19,5,0,0,30,0,0,756,0,0,2,1
277113,20232,F14.27602,F14.E401,,1528,0,40,24,4,0,0,23,0,0,760,0,0,1,1
277109,20232,F14.27405,F14.E401,,1694,0,40,24,2,0,0,18,0,0,761,0,0,1,1
277110,20232,F14.27405,F14.E402,,2191,0,40,19,3,0,0,31,0,0,761,0,0,2,1
277111,20232,F14.27406,F14.E401,,1104,0,40,23,2,0,0,14,0,0,758,0,0,1,1
277106,20232,F14.27403,F14.E402,,1694,0,40,19,2,0,0,30,0,0,751,0,0,2,1
277107,20232,F14.27404,F14.E401,,2431,0,40,23,5,0,0,17,0,0,828,0,0,1,1
277108,20232,F14.27404,F14.E402,,2431,0,40,19,4,0,0,30,0,0,828,0,0,2,1
277103,20232,F14.27402,F14.E401,,1210,0,40,19,4,0,0,14,0,0,760,0,0,1,1
277104,20232,F14.27402,F14.E402,,1210,0,40,29,4,0,0,27,0,0,760,0,0,3,1
277105,20232,F14.27403,F14.E401,,1694,0,40,23,1,0,0,14,0,0,754,0,0,1,1
277101,20232,F14.27401,F14.E401,,861,2431,40,23,1,3,3,17,7,14,751,828,828,1,1
277102,20232,F14.27401,F14.E402,,2191,0,40,21,1,1,2,27,30,27,828,828,755,3,1
277100,20232,AF201702,F14.E203,,2096,0,40,12,5,0,0,27,0,0,750,0,0,2,1
277099,20232,AF201702,F14.E202,,98,0,40,21,3,0,0,14,0,0,752,0,0,1,1
277097,20232,F14.27408,F14.E203,,1210,0,40,12,2,0,0,27,0,0,828,0,0,2,1
277098,20232,AF201702,F14.E201,,2103,0,40,27,3,0,0,17,0,0,756,0,0,1,1
