"kur_id","kdmk","nmmk","nmen","tp","sks","sks_t","sks_p","smt","jns_smt","aktif","kur_nama","kelompok_makul","kur_aktif","jenis_matkul"
137,D11.8504,KEPEMIMPINAN DAN ADMINISTRATOR KESEHATAN,Leadership and Health Administrators,T,2,2,0,5,1,1,D11.KUR.2024/2025,MKK,1,wajib
137,D11.8505,BENCANA DAN KEJADIAN LUAR BIASA,Disasters and Outbreaks,T,2,2,0,5,1,1,D11.KUR.2024/2025,MKK,1,wajib
137,D11.8506,KOMUNIKASI DALAM KESEHATAN,Health Communication,T,2,2,0,5,1,1,D11.KUR.2024/2025,MKK,1,wajib
137,D11.8507,TEKNOLOGI KESEHATAN MASYARAKAT,Public Health Technology,P,3,0,3,5,1,1,D11.KUR.2024/2025,MKK,1,wajib
137,D11.8508,MANAJEMEN DAN ANALISIS DATA DASAR,Management and Basic Data Analysis,P,2,0,2,5,1,1,D11.KUR.2024/2025,MKK,1,wajib
137,D11.8509,ADVOKASI KESEHATAN,Health Advocacy,T,2,2,0,5,1,1,D11.KUR.2024/2025,MKK,1,wajib
137,D11.8601,PUBLIC HEALTH BUSSINES INTELLEGENCE,Public Health Business Intelligence,P,2,0,2,6,2,1,D11.KUR.2024/2025,MKK,1,wajib
137,D11.8601AK,KEBIJAKAN KESEHATAN LANJUT,Advanced Health Policy ,T,3,3,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8601EP,RISET EPIDEMIOLOGI,Epidemiological Research,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8601K3,PRAKTIKUM HIPERKES,Industrial Hygiene and Occupational Health Practicum,P,2,0,2,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8601MIK,ANALISIS SISTEM DAN BASIS DATA,System Analysis and Database,P,3,0,3,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8601PR,APLIKASI PROMOSI KESEHATAN DI FASILITAS KESEHATAN TINGKAT PERTAMA,Health Promotion Application in Primary Health Care Facilities,P,2,0,2,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8602,TEKNOLOGI KESEHATAN LINGKUNGAN,Environmental Health Technology  ,P,2,0,2,6,2,1,D11.KUR.2024/2025,MKK,1,wajib
137,D11.8602AK,MANAJEMEN LAYANAN KESEHATAN,Health Services Management ,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8602EP,EPIDEMIOLOGI PENYAKIT TROPIS,Epidemiology of Tropical Diseases ,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8602K3,KESELAMATAN DAN KESEHATAN KERJA BERBAGAI SEKTOR,Occupational Safety and Health in Various Sectors,T,3,3,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8602MIK,DATA MINING,Data Mining,P,3,0,3,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8602PR,PENGEMBANGAN MEDIA PROMOSI KESEHATAN,Health Promotion Media Development,P,2,0,2,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8603,PERAN KEILMUAN KESEHATAN MASYARAKAT DALAM BENCANA DAN KEJADIAN LUAR BIASA,The Role of Public Health Science in Disasters and Outbreaks,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,wajib
137,D11.8603AK,MANAJEMEN STRATEJIK KESEHATAN,Health Strategic Management,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8603EP,TELAAH ILMIAH EPIDEMIOLOGI,Scientific Study of Epidemiology,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8603K3,APLIKASI KOMPUTER KESELAMATAN DAN KESEHATAN KERJA,Computer Application for Occupational Safety and Health,P,2,0,2,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8603MIK,LITERASI KESEHATAN DIGITAL,Digital Health Literacy,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8603PR,PSIKOLOGI KESEHATAN,Health Psychology,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8604,SISTEM INFORMASI KESEHATAN,Health Information System,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,wajib
