nim_dinus,ta_masuk_mhs
7dc50eaf82539fab629e87302938eb1a,2024
a895c650c0041d149cf63cc141c7bc76,2024
3b2a3309c7efbaba29b7ea76559638f8,2024
5c835d63f2f1a50eef3416d679eeef8d,2024
0f17ac90841d0d0920d7b0b160615f01,2024
80ac56518a9312c6d3ce21d4542949e4,2024
bc2c324dba41695b1218241d971f3bc0,2024
f9d995fe5610acc8d62417351ec230a4,2024
92a5bfa943bb902602671354cd95e9cc,2024
db3f2aa61dce437e9d30e38f008b14a1,2024
47e91c81ad7971f78d6f0df25d26db61,2024
d10de59bbccfbff165420e463d665fef,2024
449208e55667fcf62abe0976a4cbe075,2024
93f00f525f311dd23842a23192c3c627,2024
2b475593f8a556744931c3ee01847ba6,2024
6c7bdc7cbe3fdaa320fee851c09024cb,2024
7b7ce62a6ca6c1913ce1f08bdf9a143f,2024
a4b7465b5c38afc2285282cded330d8f,2024
7596bdf60c7676f4dafb60d6634ab483,2024
cba65d2afa62c3a0778dab988c80954f,2024
7b905468f7cc837ffd4e73fd3c3bdf05,2024
1cc1ca012a9bd9c8a92cc0c20d583b0b,2024
ec0814850b5e06d47c4cf6f883186771,2024
dcee87be9389fd83f1f6ccfd7b63bcd5,2024
83c95ba19422444f65942e1c231ac179,2024
b709f08bd60090fcfbcd06b05b2b4575,2024
342fa912b9121a983de4fbcd1c1d49c8,2024
55271e89a3642c1f1b176946177cba7b,2024
71d4472cce93b6918a29a1ba669dcabd,2024
e35ca24099014e6d7e7fa8b6a42b2d62,2024
6eb5f65bf57acd5cff8b422a68a69e92,2024
e3d5986deb96fee35f99cb999d10c8cb,2024
9197eb4d6e92c3e28112f07ccdc02fdc,2024
0992ef6b6c4b09a74e893d34d84fea01,2024
a03203f775fd145e5ca583e4b31fd122,2024
d689a08e37707cd0437855af3d76055c,2024
6f1f74319ce9af1c6aa7aae9881a15e4,2024
b1aa197b65dd79c9ff6604137ca42731,2024
f75e4b406532d763fd89fc6f9a1aee07,2024
1a3979e3e0e8d785cb695eae273c32c6,2024
5da4b093519272ae3d13e7365c04d932,2024
4e093a9ca721124c1fc154214f5a0365,2024
cbe4ca769060632c6d2d9060c71d0e10,2024
b0b176ef0470f474f0ac9c4060ceea12,2024
19f8723af74648bd822858d97e40702e,2024
4d88ac4877fcde64e8a145ac0442996d,2024
6b4cf45b0aee246a21bfca4dc8c388f3,2024
034b0568b322f913d74686ee79d6a5f7,2024
8a067222c8e7db26a82d3ec5181932ae,2024
cfdfeac0b61cba0e052d83e8d49b81b9,2024
686e9f962e09f40293f30302ca61767a,2024
3901a956da25e438953aebf6071b9c34,2024
5f77366bb0eb3c25773337848aa53237,2024
46125726ee6e44bf9fbdb4c7225cba38,2024
999bfddac3fa06907ab1fd38144b1293,2024
f9a9a0f59e347c4a568082304c987e6e,2024
b040c92ce0e704c6eda57947eefdcc39,2024
51eed399fdf4ce3562e32633f3956f04,2024
3de0160b6a39e17fecdca8f7d839c741,2024
11d8fae16ea58bb0766439f57832d770,2024
98b1a56a54974e58418116f91d46eff5,2024
653032e52c729682886b1b1ada15bff8,2024
ab467e2138e75c59366811bd45b4e2d5,2024
eae16a1aeaadb69b69eef19fd186ed41,2024
42858c0a753f8515962407f62476b990,2024
bb5ba4adf71430b839808ab60a8f316e,2024
99843d1bfe78bfc84066d429ddba31ea,2024
e128908cecf50a5b01e1c5b6d464ecb1,2024
75d3b69ab4694023045ee56c1901ae12,2024
cec672cca6c636121c563fe0e7cb1782,2024
d764fba24f8cae161842e1db1031789e,2024
55c625658707054ca3bbbc74481b8022,2024
3cf849008285b92a5693247a3cd73143,2024
528a5046474b8875b200c6e25a2beb68,2024
7eae220547e5cccb03031669345debbc,2024
f9c3496910a1a60c3f644ed14ba198a4,2024
4e1f25d15623458374066fa687f08be5,2024
42d0dbccb52a2a564488dbf9662cb7c3,2024
4ddc588ea0dea85971aa95d44eefbeb6,2024
d29b7d1b0beefeb9bd9dde15a1eb5379,2024
919da1f8f184a13ab20ad36214f93934,2024
8f445b068301a42b4774c99d499cc5b8,2024
aa9db9fb72f187a7bfca4ecb7494a2e4,2024
41f317a9674d9090155691e0da51d71b,2024
9466bc129adf4bb2d6986822f6627143,2024
3982cdd0da7323bd471764d4c91d28bd,2024
a1f02a6fc927f9b0b20fb42ddd7528ae,2024
72185b842edffc88ef1c16ab8d9acb98,2024
c31675b60742fba8eca0925d81b4a979,2024
5898a3f464ab2ded5f8aa8da5d429d00,2024
69e991c581dcdea77e88936df43e9df3,2024
6e54dcd6f8384502e7a1007c809f8470,2024
06689151fa2ca011a4758af5fbe10fbc,2024
267251128867e845366e09397bd94655,2024
3a320b108412f99096a6864b622a42f3,2024
96ce56dc541e391a0061f58ce9d5d3cc,2024
5272735c69560e699c8a754f5c837c30,2024
747c039d5784c6c489ab8d8b4a506cb0,2024
149f221eee0fed6f9fc020f22a14a1b9,2024
bac3de6426bccf4f28f76a16a2bb6180,2024
31d5dd5827296abf2ef59414f11104e5,2024
66f53995c5567926ad4a128321957b6e,2024
013b50f0133271ebcb7bb8fae827b06d,2024
edc91bc85a477a848b61516db4b09f4a,2024
39e573bbfe9159d8029681f58f5294bf,2024
fa72117529a407aebcd4ce28af39ea3f,2024
08d418e08f48be9f60be085c6e5db75e,2024
cc761f8229120763c6af8e903ab24a8e,2024
952f3e4b6913450309fdb29a60e174ef,2024
65eb25bcb8c8410513f0daed4e51a559,2024
7cb8c39cabb1d3d772337a8ecd9c9ea6,2024
52139d57398d27f5dcce926f5ff17a24,2024
9d1ae3a5095d52abd81fac494d329068,2024
6abf3f332881cb3e31dd52369961f379,2024
114632e86f6115ac9451ec01feb1e1de,2024
33e7c4df08e6f3596cc965b51a974e29,2024
f065985cae6d93577201d1f5a820ff9b,2024
e5e627f6107144ba1ec4c1703b5ac632,2024
0db641ffd9672deeebbb7cd4ab1368cc,2024
5c75fe81bf786e72d2c8bd86793b6b20,2024
70385d2429c8e22169ad2842d21efe20,2024
66f289fcda9d4bbded8e219f435d8f1b,2024
e70de3b7e1f5d46544fa5eb989c62957,2024
84da986dad7cbc8bb4497e5a2085dc56,2024
e55a9fec19986336ef9cfaf1d3ac3230,2024
e1100cafae2551ecd593856f40845c04,2024
cbae2624172b13e5f8f923d5b8725ca2,2024
2fede4fd79019cb6c3618d49d068645d,2024
1c5fb14a1e4406ab1aa322173ada8b2d,2024
730226bbefea8060b71d7a8054a3a6f8,2024
9f993093450d2da5c86ebfa89fc9ff16,2024
fc329d8758132bbb0103148d92b5cd3c,2024
9a5ccc7e95380dacdb7271e3f91b78a7,2024
131460bafd9c9074ddea384e40b30a67,2024
597e2316079d4d0054b8b0296a95d046,2024
29b335b15214cc55737ecdafc4ad1a47,2024
051d56d45ec576ed72262c4c156f8abe,2024
5304e5abd62f1d993a9930433d740aef,2024
4632ce87ada16aab4805252935cd87ef,2024
bc7179c48df59b1621aba24344491554,2024
62779fea8a9e4950bb4882f5be78aa92,2024
86684b7fe7478409ed44d248abf4a2fe,2024
bdaf816f37af9eb61212e083e430c237,2024
e8c14f2a82e9920715b02e554ccf84f2,2024
bf177500889a8251ef12d64fca134745,2024
b919c9b5af159ce791606aa46e60b316,2024
3b95fc47b73ae42c3df7b0fe1412c585,2024
b1172198b56b698796fce7a793c03dfb,2024
a8e9060c916075ed2e009018bb1d2436,2024
8272780fe1262a4b873d72c1981f263c,2024
fca46afd800fac490b6388fd5a952637,2024
db3554ea433169419edf8b8f3bd10ddc,2024
d68cc2f73aff8bc2dd90b03d9123a037,2024
3a6088ec537b795120c008f5462ef6a2,2024
1c101d29b10fd3b1cc056ca00aee4d62,2024
69b5e831a518ef03766fb02ac58077bc,2024
d7cd003cccd2a93eca141b06fd72d94b,2024
a7ba69eb95c5a4ccf28699894c9dfb4d,2024
4f97a3a7716f0511b5caf09ec9fb3ade,2024
1b93a6295489461dc583c72afabe78bd,2024
144c50248e47723b6e31a7b024e93956,2024
a767988aba648186cc20953ff920e4c3,2024
98cfe1c72ed12c6f44391768e3b3217d,2024
f468da8a1c1026ff43af02b3d5a4617a,2024
17efb4f71caa1b037d76d2c32c380ddd,2024
70656633c2de980f605119433fbeebf4,2024
ee06b72ef9306c04b897711132a71b1b,2024
24d31a0e5304a3f0094c394a998b149c,2024
1f4a1a6bfb496cb5b420431091bd311c,2024
972a00862d5ac1c03e897e91f1e194bb,2024
fe9ba08e796aa70f978871c8ee179a5c,2024
eba6f3a4fa0f636707b51ae7b2541b58,2024
75f69b00e0d880e1337a81fe35e485f8,2024
c82dc0c797007bc3153cb2fc53b99b03,2024
53f3637f0466aca1bd1562551de9e89e,2024
3e6fe5a1be03ef06e118cb37bfbf29a5,2024
184004b536abbdf09777a6d45fa30969,2024
5a00ac16a934175b940f2a802323c00d,2024
93008bf2a8e10635f5c34cc73ac34876,2024
100a81ddfd0f54e5b050f3ec202bdf63,2024
f4fc7cba69cba653e3b8cd6b6c130a06,2024
2d6ee73b5f32f1fb3e4da7fde494882a,2024
ca07c64a62f318ce92339e7bb8e1d2af,2024
de2e55d09a01cf61b054b749e859dd70,2024
9921e3c03313a8d6e402b67024c45d2a,2024
e469f7fadcb3bcf22516ff582be0a3d4,2024
5750888174dce3a06d8ff2d861f6fcd5,2024
e407ae29e9c53f3aeb996008fafbfae2,2024
d64284897999709130351f7e992df32b,2024
cf58d6d1851c8683ac6824f71f6ad388,2024
6408ea0fab120be6a20e68e6d969c116,2024
02b5ef3bd37fb779cb4372a798063ae8,2024
fe5e2db68e89d37bb3632c41aa9442e5,2024
c3bcf7f7af227174fa706ac001cceaf6,2024
ebad5225252f59089d1387fcbc60c39a,2024
035f6db7387f4d8d8873476d976f8cce,2024
334b7384e3362b8aa3ba76e666499cf0,2024
60cffc98b7dd1e7ec8e8f707e336ee6a,2024
184f128b9d39f441e28ec2d39b414654,2024
0aed61595e6db9dfc55cc9952bf9435d,2024
be2b3cfba7943161d4412816b9142bf6,2024
70dd0f08a2493f2764298f51e9daee29,2024
220a080eaaf80fa8493727863e8c1a8d,2024
5fd4e6e5a213f63be369c26c1f120143,2024
5809174868d5966bea44f1899cc9744d,2024
d603340b687ec17d4a05dfa869337f1a,2024
540953e686f1909fa388c60c9572bdb5,2024
ef0c29f237bd99ddb5fe526aa674b753,2024
13100e758d12cd1dc041174ee52c32fd,2024
384c91b1dbd630214d6b421bbe8bee3f,2024
4c4517e541298589606f1026b596e139,2024
97b0ba18669587bc69665b41d08e9bcc,2024
020c06b2f8dd4c8aeac47ca1dee470d3,2024
d810ddc377b25a2d38a877c9f776bb5e,2024
e19878bbebb60a9567e99069492a03f4,2024
e3ff715a72b84c5adf38b902faf28c1b,2024
90967824df5860101af845a3be89e157,2024
98d8eaddb945d6c1fe8b28d6865ba449,2024
cf14a5a3594df97f0b8028dbd81dda41,2024
77a688cf67ece4879b0b145bf564479a,2024
796eb64e45907cb7d4904fc9a89c296d,2024
b15d228df261a9ca1214f250d25a2560,2024
bace6b6c08a5573d4ecd52f7167f0e26,2024
2930bd71e6eaa1eb2af38eaabda5600d,2024
5e0ebc580f383590e7b7c5a6513f5bb3,2024
eb8b3ce770ab23638273225d6bc8ca9d,2024
0f0116788ff62bbf43ccf7fc9c7ee956,2024
2bb1b7e062a11b7d0bcff264e8d52b07,2024
082a36442b8c98417c99f8debfdb327f,2024
f5c9f6da4ce8a51bcc95a6a286a8f910,2024
dce7fb994afb822849928485b646344b,2024
bcd8143ded0d00e2695e8b4e3a13ea1a,2024
91951c48edf3045089f609f5f6facf00,2024
eaaaa73643636111eaad973cad90b46f,2024
368f29b952d1a5b78908007dfb859059,2024
1c39ce851c2a823d6bb03751bdbf7418,2024
93018a7c59f094200e1e09b401f0324b,2024
9f3991dd2826947af9cfd773960e8f5c,2024
c79dcc1636624d4f2ca543258d71fc15,2024
c1356aec53302e77a5b66a6d7849f9ce,2024
7ce076cdae2ef0cc343a3505ab168b98,2024
16033c770650d1d2b4f5ad508283738e,2024
