"id","ta","nim_dinus","spp_bayar","spp_bayar_date","spp_host","spp_status","spp_dispensasi","spp_bank","spp_transaksi"
298385,20232,afa17b83e0787bd5b65742f98eca657b,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6132100049"
298386,20232,"4afffd490e835b6b99aa2355da1e5bd7",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6132100048"
298387,20232,"82832520a6a9dc1d7b95572711224a39",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6132100047"
298388,20232,"5d4b70d62c1a61c803327d3f993309a3",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6132100046"
298389,20232,ec330d300f9572a6fe708499c71bafce,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6132100045"
298390,20232,ff70ef081e77dbe0f54e95a66edf42d0,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6132100044"
298391,20232,"08fe206df4674f985208f3eedf5d49c3",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6132100042"
298392,20232,"6a6ead912a20273786079faf24654b26",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6122200083"
298393,20232,"80ed4af6e3253abf3d8961d3fce6a015",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6122200068"
298394,20232,"2a723b6e5714bd1be8e565398bad1d78",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6122200062"
298395,20232,c2d4aad8bc3ddf46fccaf916e9df84dd,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6122100051"
298396,20232,"7dc388e7159c17dc10f67d9d413bbddd",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6122100050"
298397,20232,"8ea9fbee92623d1c68a7b8d3b4cbe9bd",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6122100049"
298398,20232,f64f75009f61cfdf3b75f3b6bf562807,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6122100048"
298399,20232,"178cb9d43f3d97ab2c9f2b42ae99a163",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6122100044"
298400,20232,"8797b8dcde432c8b1ce7d3065a5a2850",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6122100041"
298401,20232,"6964dec15edf97d818daafa708fe894f",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6122100038"
298402,20232,"27800b2ddf3f44d4dca6b3b906836e9e",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6112200068"
298403,20232,"954ff51f6caa45cb5b9f37552e4eb96a",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"6112100042"
298404,20232,afc9db0ff0cb9f51b0a57cb7655fdd4d,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"2112080021"
298405,20232,"4e9e847205773b62baf719f475cc2ce3",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"2112080019"
298406,20232,"09a7929d45e765981c0b9a77cedf02d5",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"2112080018"
298407,20232,"776c8ebf04bf5f92b3ce56c4484c0243",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"2112080017"
298408,20232,ef024c5a53da4dc3e8d1876f728be148,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"2112080016"
298409,20232,"21addeb9cc3e5bbb9530de669432acea",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"2112080015"
298410,20232,a772101dccb925e558fd71c40f0a542f,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"2112080014"
298411,20232,"539aea4f91d24236e5905b3ce86c4714",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"2112080011"
298412,20232,c2c9402bc5048f0ae91abb598927d447,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"2112080010"
298413,20232,f0bcfa887c8506de03da8796ae301040,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"2112080009"
298414,20232,"1497031edb8063d0c8ab24088f6ccac8",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"2112080004"
298415,20232,"138e422504c7c2cc26d02d77c70cd935",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"2112080003"
298416,20232,a1c61c6a2787a48ae8f1799015c28541,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"2112080001"
298417,20232,d0cb26c521cc38520f64c9940655712a,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"1142080030"
298418,20232,"4bf82224f12ed44af907136f28a60524",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"1142080027"
298419,20232,e520f28aadd890948be869025da86233,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"1142080024"
298420,20232,"70d29f36a42f0fffdef9fdea49037074",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"1142080021"
298421,20232,"6106519b85c9af5ae1a6c4b86ec690a8",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"1112080012"
298422,20232,"14d7135b2d3f497d770ea99ef72ce90b",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"5132100184"
298423,20232,b50f2c26b57ac16fd10cdd88d83d3a21,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"5132100183"
298424,20232,"85ee90bb0a6162c0333036ad5d3bd04a",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"5122301871"
298425,20232,"851f04726df617df9277475d89dedc12",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"5122101577"
298426,20232,"2c3e00e1cbc56bb463c51c446f40d09c",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"5122101575"
298427,20232,"66d1a291fa5814828e2b5df71307704e",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"5112101142"
298428,20232,d1e5872488dae7fb4ea094d23b104b4e,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"5112101129"
298429,20232,"8d09629f47d72ee67836154ffff93d3a",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"4122100191"
298430,20232,"297930bc01daf96e8557cf94ed254dc6",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"4122100190"
298431,20232,ebe77859d61fcf75befe6aaad774bcc9,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"4122100188"
298432,20232,c15fe8f20953f09ff2ca06687d00cbf4,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"4122100187"
298433,20232,d1850b0a1696b8589b7fbf4b9be75822,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"4122100185"
298434,20232,"298c1424eaab5b4c08b9ace7800954df",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"4122000151"
298435,20232,ae31ef399ae97d78f3b63fe2a7524b5d,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"4112103410"
298436,20232,da9eaf7d90a4dcb6b3711233730b67ad,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"4112103408"
298437,20232,"1c8ccfb31227a77109f4fa05f97b9071",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"4112103401"
298438,20232,ae591122507cbbe5d9d2975c9ea4ba02,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"4112103325"
298439,20232,"364c10acb59469fa1a00651d501fad00",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"4112103324"
298440,20232,"08e91f46bec8bc42fa29f422772076f6",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"4112103323"
298441,20232,"66eff481345adf13ac63f8741692718a",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"4112103303"
298442,20232,"6606dea022f40960c4e7137233b41d80",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"4112103241"
298443,20232,b8390e6bec5f035672f4f5cbcc76b6ed,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"4112003130"
298444,20232,"1ab918d6ce3b04c0d6514b77226e1d3f",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"4112003042"
298445,20232,"518d449de3670ff882b485f59b072a36",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"3122101035"
298446,20232,a2ac1ee6c71117f293ef7bbeab4247ac,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"3112302582"
298447,20232,"28e3f2f8c5b6d19f6d34ced9603414de",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"3112002235"
298448,20232,f3c034ea1750c031778362d34fb84bf8,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",auto_import,"3112002231"
298449,20232,"98771d39c7175efde3f6f2a6cf9247bb",1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6312102430"
298450,20232,b5379ccc8cd96d6a7578c11dd2bd1ca3,1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6312102429"
