"id","ta","ijinkan","time","nim_dinus"
4629,20232,1,2024-03-06 11:25:01.000,cdda4d2a3ee9ed97b647443338119d1a
4731,20232,1,2024-03-08 14:19:14.000,"46f5ade30a1ebe14aab138b0e878ad3e"
4611,20232,1,2024-03-05 14:40:02.000,d3c393d80af052b499c37baeed05e578
4656,20232,1,2024-03-07 09:14:22.000,e0a12006689c60b77bc2ad77ea908f91
4838,20232,1,2024-03-22 14:11:54.000,"69ba2c6e35566e22d7bdb0ff3792e88e"
4830,20232,1,2024-03-22 11:08:53.000,"9b75bce0f5b3f3c5276a4a39866f2749"
4749,20232,1,2024-03-13 13:02:31.000,"6161714ac7fe5acac24d2678fc4cd892"
4543,20232,1,2024-03-04 14:02:44.000,"9953abbc7554bd0d59394a94147bafcf"
4650,20232,1,2024-03-06 14:59:03.000,"8081165131c151a957efb0204bf45dbc"
4594,20232,1,2024-03-05 13:03:55.000,"223e8b98fbfa5834b09046c94c64b42d"
4634,20232,1,2024-03-06 13:12:44.000,b4578407565863df36a1f82d4fb57790
4817,20232,1,2024-03-20 11:04:41.000,"097fcaa1ef29a961b39a4637f6863a5a"
4818,20232,1,2024-03-20 11:06:20.000,"83b4176afb5d4dfd18b8499827307702"
4566,20232,1,2024-03-04 15:31:03.000,"05bb641c85e1cb27d5e33c7ac36c89fa"
4836,20232,1,2024-03-22 13:49:19.000,"17eda94cddcd2d3525e6e45c66fb910e"
4561,20232,1,2024-03-04 14:57:46.000,b1d2d7de8ddd82461e8b1efc823614fa
4576,20232,1,2024-03-04 15:58:56.000,"478cc52b33d7eb5b8132f49c1f27c86c"
4837,20232,1,2024-03-22 14:11:32.000,"1ea4ad89dc917031d0d650bf19bbfd87"
4513,20232,1,2024-03-04 09:21:23.000,b8da4fb06fce6b7be9362d049d751d85
4736,20232,1,2024-03-08 15:09:50.000,c544569f721079babbfcc2fdfdd62d05
4833,20232,1,2024-03-22 11:50:27.000,"646d7c8f78c7730b9e108f293038e084"
4600,20232,1,2024-03-05 13:37:22.000,cdce147e7e6cc3a81440d51c4741139b
4772,20232,1,2024-03-14 13:25:35.000,"442d6dd1e9ec3b23705876083db23de3"
4809,20232,1,2024-03-19 13:15:01.000,"8f511fdaf2752df2025a5c41d59ae2be"
4757,20232,1,2024-03-13 13:46:51.000,"3c5df8c245ca2dd71410dd9eee29fc63"
4515,20232,1,2024-03-04 10:02:07.000,fe79152457e4cb51ab624de816c58769
4810,20232,1,2024-03-19 13:45:48.000,b0e016485643ad44d5293b657d0c51aa
4621,20232,1,2024-03-06 09:55:29.000,b4d9ee98eabf44aea4f14bed2afbe1b8
4596,20232,1,2024-03-05 13:09:41.000,a42257513c8d98e1fdf482e25c9e5653
4585,20232,1,2024-03-05 11:11:44.000,"4d39e2794d7d95f4b1964732b53edf48"
4785,20232,1,2024-03-15 13:31:31.000,d09db7b3d42b86ae051ac04e334c56f8
4603,20232,1,2024-03-05 14:14:21.000,"304e4f00da94e067a13f430927664024"
4795,20232,1,2024-03-15 14:31:55.000,"799d4ef4975a73fd08926146f029cd0d"
4648,20232,1,2024-03-06 14:42:58.000,"5a348926566d83ded09d21f65cbf68ab"
4750,20232,1,2024-03-13 13:02:36.000,cadf017c4d003c9eafd151f52fe14f68
4748,20232,1,2024-03-13 13:02:04.000,"7b33e388b2e36d117a6a6e23a07bb94b"
4646,20232,1,2024-03-06 14:42:37.000,"91ddadf6963182753a4c5a6c56ac119f"
4628,20232,1,2024-03-06 11:04:41.000,e6a304dd1af0f7c121aa0e344a070b8e
4638,20232,1,2024-03-06 15:18:14.000,"2193f6fa20d03649c8c86dc167c7032d"
4658,20232,1,2024-03-07 09:26:17.000,fd48d343e70819a52b576feb9c6c096f
4636,20232,1,2024-03-06 13:18:09.000,"7a84acbe111c580421656d05b22c9a08"
4630,20232,1,2024-03-06 11:25:39.000,"715f29edfaf4b945250700b242dc3e3d"
4672,20232,1,2024-03-07 14:29:02.000,"1617d5fce60843db9052b089568b4f91"
4624,20232,1,2024-03-06 10:09:39.000,b85a9bb587b351f04889f7174730c7ff
4673,20232,1,2024-03-07 14:31:52.000,ad5f984a7121e7e5e14f3915b7526ff9
4674,20232,1,2024-03-07 15:06:32.000,e95771bac9295f15ed046070a49b815d
4641,20232,1,2024-03-06 13:51:29.000,f6bfbf1ab900d642d5ed07b660a91c61
4640,20232,1,2024-03-06 13:51:00.000,b74acfca82d06f912803d6703b8a9e32
4547,20232,1,2024-03-04 14:17:50.000,"34267e5bb1c3db5e72c496294e2ef2ab"
4815,20232,1,2024-03-20 09:32:37.000,b19f8fb05b81e64ec5695dd4208946e1
4587,20232,1,2024-03-05 11:20:42.000,"0cd05779bd05f9f3eb0b196958da730d"
4761,20232,1,2024-03-13 14:31:02.000,"879ca90d67acbeb2a84a0d6233757ae1"
4567,20232,1,2024-03-04 15:38:09.000,"27c30513fa10a959da6c50125b13f614"
4606,20232,1,2024-03-05 14:21:08.000,"2f12c6b7476b648f4728b3b84bd85764"
4759,20232,1,2024-03-13 14:29:15.000,"0b156ccf13c850129161901a30abed63"
4794,20232,1,2024-03-15 14:21:22.000,"5d0248e0beb1beb72a474871f2453c1c"
4813,20232,1,2024-03-19 14:16:02.000,"26c5b61024aa50eb1be3accf4c76b876"
4797,20232,1,2024-03-15 15:03:22.000,"37f6aa50b7bbdaf434f4f77fad38083d"
4597,20232,1,2024-03-05 13:16:06.000,"7b0be9a2af56bce2046bde49e2284ae8"
4765,20232,1,2024-03-13 15:16:18.000,b44e9f81b2893e149ef72786813be044
4599,20232,1,2024-03-05 13:25:54.000,"6555ab0bb07e8b7da9cc2cc3488884c8"
4681,20232,1,2024-03-08 10:53:26.000,"6cc1ac9481a73f3d392e69bd9653eeaf"
4670,20232,1,2024-03-07 14:01:08.000,e55616e3d4a57dfd51b96c8f1c4d783f
4820,20232,1,2024-03-20 13:05:01.000,"99252caba7044a5303d9c3c265c8c577"
4783,20232,1,2024-03-15 13:02:47.000,af0be7abb2bb7f54a24877dfa27d6faf
4588,20232,1,2024-03-05 11:23:49.000,"462c79b1994e4deba4b58d6e49167941"
4812,20232,1,2024-03-19 14:06:27.000,"10a4b1879eb29ce47dd0ac6aefc9c86f"
4604,20232,1,2024-03-05 14:14:25.000,"85a5508c95f099fab9997c7024e37f89"
